Id,date_new,sum_mets,Calories
6117666160,18-04-16,19426,2018
6290855005,18-04-16,19332,2766
6775888955,18-04-16,21887,2798
6962181067,18-04-16,22788,2039
7007744171,18-04-16,26197,2832
7086361926,18-04-16,24244,2743
8053475328,18-04-16,25734,3133
8253242879,18-04-16,18449,1829
8378563200,18-04-16,27690,4157
8583815059,18-04-16,17816,2536
8792009665,18-04-16,14400,1688
8877689391,18-04-16,22528,2761
1503960366,19-04-16,25883,2035
1624580081,19-04-16,17274,1435
1644430081,19-04-16,23158,3300
1844505072,19-04-16,14604,1366
1927972279,19-04-16,14400,2063
2022484408,19-04-16,23980,2489
2026352035,19-04-16,17496,1356
2320127002,19-04-16,19692,1811
2347167796,19-04-16,24942,2346
2873212765,19-04-16,22281,1956
3372868164,19-04-16,21232,1985
3977333714,19-04-16,23211,1638
4020332650,19-04-16,14400,1980
4319703577,19-04-16,21765,2200
4388161847,19-04-16,23116,3015
4445114986,19-04-16,17003,1954
4558609924,19-04-16,20170,1876
4702921684,19-04-16,20080,2812
5553957443,19-04-16,24936,2284
5577150313,19-04-16,27708,3501
6117666160,19-04-16,25081,2606
6290855005,19-04-16,19842,2839
6775888955,19-04-16,14400,1841
6962181067,19-04-16,22830,2046
7007744171,19-04-16,25999,2812
7086361926,19-04-16,26017,2944
8053475328,19-04-16,25580,3114
8253242879,19-04-16,17788,1763
8378563200,19-04-16,27252,4092
8583815059,19-04-16,19029,2668
8792009665,19-04-16,14400,1688
8877689391,19-04-16,30057,3676
1503960366,20-04-16,22716,1786
1624580081,20-04-16,17402,1446
1644430081,20-04-16,17294,2430
1844505072,20-04-16,14422,1349
1927972279,20-04-16,14400,2063
2022484408,20-04-16,27920,2897
2026352035,20-04-16,21509,1667
2320127002,20-04-16,20898,1922
2347167796,20-04-16,23371,2198
2873212765,20-04-16,23940,2094
3372868164,20-04-16,19972,1867
3977333714,20-04-16,22125,1554
4020332650,20-04-16,14400,1980
4319703577,20-04-16,21904,2220
4388161847,20-04-16,23638,3083
4445114986,20-04-16,17178,1974
4558609924,20-04-16,19234,1788
4702921684,20-04-16,21854,3061
5553957443,20-04-16,17140,1570
5577150313,20-04-16,25263,3192
6117666160,20-04-16,24403,2536
6290855005,20-04-16,18876,2701
6775888955,20-04-16,29154,3727
6962181067,20-04-16,24189,2174
7007744171,20-04-16,28637,3096
7086361926,20-04-16,26481,2997
8053475328,20-04-16,24996,3043
8253242879,20-04-16,19482,1931
8378563200,20-04-16,25220,3787
8583815059,20-04-16,18878,2647
8792009665,20-04-16,18664,2188
8877689391,20-04-16,30144,3679
1503960366,21-04-16,22577,1775
1624580081,21-04-16,17650,1467
1644430081,21-04-16,15232,2140
1844505072,21-04-16,22046,2062
1927972279,21-04-16,14407,2064
2022484408,21-04-16,30438,3158
2026352035,21-04-16,17683,1370
2320127002,21-04-16,17510,1610
2347167796,21-04-16,21782,2048
2873212765,21-04-16,22529,1970
3372868164,21-04-16,22711,2124
3977333714,21-04-16,19871,1397
4020332650,21-04-16,14400,1980
4319703577,21-04-16,15092,1792
4388161847,21-04-16,23534,3069
4445114986,21-04-16,18679,2150
4558609924,21-04-16,26738,2486
4702921684,21-04-16,19486,2729
5553957443,21-04-16,22559,2066
5577150313,21-04-16,31800,4018
6117666160,21-04-16,22772,4900
6290855005,21-04-16,14400,2060
6775888955,21-04-16,14400,1841
6962181067,21-04-16,24315,2179
7007744171,21-04-16,25560,2763
7086361926,21-04-16,21769,2463
8053475328,21-04-16,25469,3103
8253242879,21-04-16,22374,2218
8378563200,21-04-16,28210,4236
8583815059,21-04-16,20557,2883
8792009665,21-04-16,14672,1720
8877689391,21-04-16,30101,3659
1503960366,22-04-16,23242,1827
1624580081,22-04-16,17700,1470
1644430081,22-04-16,16682,2344
1844505072,22-04-16,19536,1827
1927972279,22-04-16,14612,2093
2022484408,22-04-16,25431,2638
2026352035,22-04-16,18053,1399
2320127002,22-04-16,20130,1851
2347167796,22-04-16,20691,1946
2873212765,22-04-16,22304,2241
3372868164,22-04-16,17850,1669
3977333714,22-04-16,21081,1481
4020332650,22-04-16,14400,1980
4319703577,22-04-16,18666,1886
4388161847,22-04-16,27171,3544
4445114986,22-04-16,21159,2432
4558609924,22-04-16,22524,2094
4702921684,22-04-16,16004,2241
5553957443,22-04-16,22975,2105
5577150313,22-04-16,25987,3329
6117666160,22-04-16,23186,2409
6290855005,22-04-16,19540,2796
6775888955,22-04-16,15039,1922
6962181067,22-04-16,23281,2086
7007744171,22-04-16,26725,2889
7086361926,22-04-16,25129,2846
8053475328,22-04-16,21808,2655
8253242879,22-04-16,16654,1651
8378563200,22-04-16,26936,4044
8583815059,22-04-16,20994,2944
8792009665,22-04-16,20634,2419
8877689391,22-04-16,28073,3427
1503960366,23-04-16,24786,1949
1624580081,23-04-16,18808,1562
1644430081,23-04-16,19052,2677
1844505072,23-04-16,17582,1645
1927972279,23-04-16,17444,2499
2022484408,23-04-16,19940,2069
2026352035,23-04-16,24718,1916
2320127002,23-04-16,19612,1804
2347167796,23-04-16,27953,2629
2873212765,23-04-16,23111,2021
3372868164,23-04-16,21335,1995
3977333714,23-04-16,23321,1638
4020332650,23-04-16,14400,1980
4319703577,23-04-16,19245,1945
4388161847,23-04-16,25354,3306
4445114986,23-04-16,18753,2149
4558609924,23-04-16,22352,2085
4702921684,23-04-16,26356,3691
5553957443,23-04-16,19391,1776
